                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89159,                0.81225,                 1.1502,                0.59297,                0.62543,                0.64762,                0.44802,                 1.1396,                 1.0969,                 1.3506,              0.0006634,              0.0006634,              0.0006634
                     36,                0.87882,                0.79968,                 1.1436,                0.65742,                0.58461,                0.64031,                  0.461,                 1.1328,                 1.1759,                 1.3473,              0.0006535,              0.0006535,              0.0006535
                     37,                0.86511,                  0.791,                 1.1267,                 0.6656,                0.58007,                0.62241,                0.43591,                  1.126,                 1.1472,                 1.3639,              0.0006436,              0.0006436,              0.0006436
                     38,                0.84921,                  0.764,                 1.1176,                0.69484,                0.60346,                 0.6701,                 0.4732,                 1.1359,                 1.0785,                 1.3502,              0.0006337,              0.0006337,              0.0006337
                     39,                0.84608,                  0.779,                 1.1207,                0.72322,                0.61441,                0.68803,                0.48579,                 1.1224,                  1.055,                 1.3404,              0.0006238,              0.0006238,              0.0006238
                     40,                0.82816,                0.72327,                 1.1063,                0.67816,                0.60652,                0.68166,                0.48493,                 1.1191,                 1.0816,                 1.3252,              0.0006139,              0.0006139,              0.0006139
                     41,                0.82891,                0.73823,                 1.1158,                0.76932,                0.55501,                 0.6785,                0.47236,                 1.0928,                 1.0579,                 1.3062,               0.000604,               0.000604,               0.000604
                     42,                0.82597,                0.71972,                    1.1,                0.64698,                0.60458,                0.65224,                0.45796,                 1.1259,                   1.13,                 1.3349,              0.0005941,              0.0005941,              0.0005941
                     43,                0.82596,                0.72079,                 1.1089,                0.66161,                0.62118,                0.67012,                0.47231,                 1.0892,                 1.1535,                 1.3081,              0.0005842,              0.0005842,              0.0005842
                     44,                0.81699,                0.72363,                 1.1087,                0.65346,                0.62885,                0.67089,                0.47717,                 1.1131,                 1.0964,                 1.3301,              0.0005743,              0.0005743,              0.0005743
                     45,                0.79911,                0.67206,                 1.0932,                0.68683,                0.63058,                0.68862,                0.48995,                  1.114,                 1.0428,                 1.3296,              0.0005644,              0.0005644,              0.0005644
                     46,                0.79092,                0.68067,                 1.0874,                0.76506,                0.58012,                0.67737,                0.47846,                 1.0944,                  1.064,                 1.3141,              0.0005545,              0.0005545,              0.0005545
                     47,                0.79342,                0.68706,                 1.0932,                0.72719,                0.59376,                0.67218,                0.48722,                 1.1138,                 1.0766,                 1.3388,              0.0005446,              0.0005446,              0.0005446
                     48,                0.78179,                0.67475,                  1.086,                0.80062,                0.58044,                0.68827,                0.48059,                 1.1167,                 1.0541,                 1.3453,              0.0005347,              0.0005347,              0.0005347
                     49,                0.76069,                0.64803,                 1.0678,                0.75492,                0.59138,                 0.6744,                0.47907,                   1.11,                 1.0429,                 1.3443,              0.0005248,              0.0005248,              0.0005248
                     50,                0.76293,                0.64634,                  1.079,                0.68436,                0.60711,                0.65167,                 0.4676,                 1.1118,                 1.0985,                 1.3179,              0.0005149,              0.0005149,              0.0005149
